,Upstream Sennar,Gezira Managil,Downstream Sennar,Taminiat to Hassanab,Hassanab to Dongola,Downstream HAD-Egypt
Jan,67.5776583,319.5937873,7.467144564,18.66786141,28.37514934,1310.483871
Feb,66.13756614,328.207672,8.267195767,12.81415344,19.84126984,1620.37037
Mar,44.80286738,155.3166069,10.45400239,5.227001195,8.21385902,1635.304659
Apr,34.72222222,26.62037037,11.57407407,4.62962963,6.944444444,1589.506173
May,35.09557945,51.52329749,12.32078853,7.093787336,10.82735962,1896.654719
Jun,77.16049383,254.2438272,12.73148148,14.66049383,22.37654321,2438.271605
Jul,97.44623656,349.8357228,8.960573477,13.44086022,20.16129032,2523.894863
Aug,93.71266428,176.9713262,7.093787336,10.82735962,16.05436081,2202.807646
Sept,132.3302469,361.882716,10.41666667,20.44753086,30.47839506,1601.080247
Oct,148.2228196,388.2915173,11.20071685,25.01493429,37.70908005,1452.359618
Nov,141.9753086,357.2530864,10.0308642,25.84876543,38.96604938,1481.481481
Dec,82.88530466,344.2353644,7.093787336,23.14814815,35.09557945,1355.286738